"workloadId","evaluationRound","baselineBackend","candidateBackend","selectedBackend","baselineGpuAverageMs","candidateGpuAverageMs","selectedGpuAverageMs","candidateGpuAverageImprovementPercent","gpuAverageImprovementPercent","baselineGpuP99Ms","candidateGpuP99Ms","selectedGpuP99Ms","candidateGpuP99ImprovementPercent","gpuP99ImprovementPercent"
"exclusive-scan","3","portable","wave-ops","wave-ops","0.031717","0.019393","0.019393","38.85613393448309","38.85613393448309","0.032768","0.02048","0.02048","37.49999999999999","37.49999999999999"
"exclusive-scan","4","portable","wave-ops","wave-ops","0.031685","0.019396","0.019396","38.784913997159535","38.784913997159535","0.032768","0.02048","0.02048","37.49999999999999","37.49999999999999"
"exclusive-scan","5","portable","wave-ops","wave-ops","0.03172","0.019387","0.019387","38.880832282471616","38.880832282471616","0.032768","0.02048","0.02048","37.49999999999999","37.49999999999999"
"exclusive-scan","6","portable","wave-ops","wave-ops","0.031706","0.019384","0.019384","38.86330662966","38.86330662966","0.032768","0.02048","0.02048","37.49999999999999","37.49999999999999"
"radix-sort-32","3","portable","wave-ops","portable","2.809203","2.76679","2.809203","1.5097876515154032","0","3.375104","3.331072","3.375104","1.304611650485439","0"
"radix-sort-32","4","portable","wave-ops","portable","2.804902","2.769154","2.804902","1.2744830300666439","0","3.360768","3.326976","3.360768","1.0054844606946995","0"
"radix-sort-32","5","portable","wave-ops","portable","2.811097","2.778817","2.811097","1.148306159481515","0","3.38432","3.34848","3.38432","1.0590015128593133","0"
"radix-sort-32","6","portable","wave-ops","portable","2.786972","2.780497","2.786972","0.2323310029666609","0","3.347456","3.337216","3.347456","0.30590394616090627","0"
"stable-compaction","3","portable","wave-ops","wave-ops","0.0418","0.029521","0.029521","29.3755980861244","29.3755980861244","0.043008","0.03072","0.03072","28.571428571428566","28.571428571428566"
"stable-compaction","4","portable","wave-ops","wave-ops","0.041783","0.029511","0.029511","29.37079673551445","29.37079673551445","0.043008","0.03072","0.03072","28.571428571428566","28.571428571428566"
"stable-compaction","5","portable","wave-ops","wave-ops","0.041818","0.029532","0.029532","29.379692955186766","29.379692955186766","0.043008","0.03072","0.03072","28.571428571428566","28.571428571428566"
"stable-compaction","6","portable","wave-ops","wave-ops","0.041935","0.029605","0.029605","29.4026469536187","29.4026469536187","0.045056","0.031744","0.031744","29.54545454545454","29.54545454545454"
