processId,round,blockIndex,orderPosition,order,caseId,operation,variant,marker,samples,gpuRegionValidSamples,gpuFrameValidSamples,dispatchesPerFrame,logicalBytesPerDispatch,blockEnqueueElapsedMs,fenceSupported,fencePassed,fenceLatencyMs,frameAverageMs,frameP50Ms,frameP95Ms,frameP99Ms,gpuRegionAverageMs,gpuRegionP50Ms,gpuRegionP95Ms,gpuRegionP99Ms,gpuFrameAverageMs,gpuFrameP50Ms,gpuFrameP95Ms,gpuFrameP99Ms,enqueueAverageMs,enqueueP50Ms,enqueueP95Ms,enqueueP99Ms,mainAverageMs,mainP99Ms,renderAverageMs,renderP99Ms,measurementReadbackBytes,timestampInstrumentationReadbackBytes
45768,1,1,1,"control/empty-command-buffer>exclusive-scan/portable>exclusive-scan/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","control/empty-command-buffer","control","empty-command-buffer","GPU.Primitives/Control/EmptyCommandBuffer",900,900,0,0,0,171.745000,1,1,0.142000,0.190636,0.170699,0.315398,0.595897,0.000003,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.002969,0.002900,0.003800,0.005100,0.189408,0.608400,0.000000,0.000000,0,14400
45768,1,2,2,"control/empty-command-buffer>exclusive-scan/portable>exclusive-scan/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","exclusive-scan/portable","exclusive-scan","portable","GPU.Primitives/exclusivescan/portable",900,900,0,1,8388608,191.431100,1,1,0.191200,0.212711,0.203897,0.327601,0.456696,0.069541,0.075776,0.078848,0.088064,-1.000000,-1.000000,-1.000000,-1.000000,0.006377,0.006000,0.007700,0.037500,0.211421,0.468300,0.000000,0.000000,0,14400
45768,1,3,3,"control/empty-command-buffer>exclusive-scan/portable>exclusive-scan/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","exclusive-scan/wave-ops","exclusive-scan","wave-ops","GPU.Primitives/exclusivescan/wave-ops",900,900,0,1,8388608,192.934800,1,1,0.102700,0.214335,0.204004,0.337996,0.482299,0.027924,0.028672,0.031744,0.032768,-1.000000,-1.000000,-1.000000,-1.000000,0.006233,0.006200,0.007800,0.010200,0.213069,0.491400,0.000000,0.000000,0,14400
45768,1,4,4,"control/empty-command-buffer>exclusive-scan/portable>exclusive-scan/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","radix-sort-32/portable","radix-sort-32","portable","GPU.Primitives/radixsort32/portable",900,900,0,1,134217728,2576.813700,1,1,0.602300,2.862617,2.928302,3.357299,3.530095,2.837413,2.921472,3.265536,3.451904,-1.000000,-1.000000,-1.000000,-1.000000,0.014196,0.013600,0.019000,0.035000,2.860795,3.579600,0.000000,0.000000,0,14400
45768,1,5,5,"control/empty-command-buffer>exclusive-scan/portable>exclusive-scan/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","radix-sort-32/wave-ops","radix-sort-32","wave-ops","GPU.Primitives/radixsort32/wave-ops",900,900,0,1,134217728,2518.000400,1,1,0.122600,2.798431,2.898803,3.252303,3.504301,2.776453,2.892800,3.219456,3.415040,-1.000000,-1.000000,-1.000000,-1.000000,0.014106,0.013500,0.019700,0.030600,2.796642,3.527100,0.000000,0.000000,0,14400
45768,1,6,6,"control/empty-command-buffer>exclusive-scan/portable>exclusive-scan/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","stable-compaction/portable","stable-compaction","portable","GPU.Primitives/stablecompaction/portable",900,900,0,1,12582916,195.528500,1,1,0.081000,0.217249,0.211402,0.294097,0.442404,0.041817,0.041984,0.043008,0.043008,-1.000000,-1.000000,-1.000000,-1.000000,0.007179,0.007100,0.008900,0.016700,0.215953,0.441200,0.000000,0.000000,0,14400
45768,1,7,7,"control/empty-command-buffer>exclusive-scan/portable>exclusive-scan/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","stable-compaction/wave-ops","stable-compaction","wave-ops","GPU.Primitives/stablecompaction/wave-ops",900,900,0,1,12582916,180.171300,1,1,0.097600,0.200137,0.190604,0.303600,0.497499,0.029674,0.029696,0.030720,0.032768,-1.000000,-1.000000,-1.000000,-1.000000,0.006912,0.007200,0.009000,0.011500,0.198954,0.496300,0.000000,0.000000,0,14400
45768,2,8,1,"stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>exclusive-scan/wave-ops>exclusive-scan/portable>control/empty-command-buffer","stable-compaction/wave-ops","stable-compaction","wave-ops","GPU.Primitives/stablecompaction/wave-ops",900,900,0,1,12582916,172.032100,1,1,0.065800,0.191021,0.180697,0.280201,0.483397,0.029627,0.029696,0.030720,0.034816,-1.000000,-1.000000,-1.000000,-1.000000,0.006622,0.007000,0.008600,0.009400,0.189902,0.497100,0.000000,0.000000,0,14400
45768,2,9,2,"stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>exclusive-scan/wave-ops>exclusive-scan/portable>control/empty-command-buffer","stable-compaction/portable","stable-compaction","portable","GPU.Primitives/stablecompaction/portable",900,900,0,1,12582916,179.477000,1,1,0.088600,0.199422,0.189498,0.280605,0.441298,0.041863,0.041984,0.043008,0.044032,-1.000000,-1.000000,-1.000000,-1.000000,0.007025,0.007100,0.008600,0.019800,0.198219,0.474400,0.000000,0.000000,0,14400
45768,2,10,3,"stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>exclusive-scan/wave-ops>exclusive-scan/portable>control/empty-command-buffer","radix-sort-32/wave-ops","radix-sort-32","wave-ops","GPU.Primitives/radixsort32/wave-ops",900,900,0,1,134217728,2519.019300,1,1,0.095100,2.799466,2.892602,3.273802,3.424497,2.777023,2.893824,3.221504,3.343360,-1.000000,-1.000000,-1.000000,-1.000000,0.015267,0.014300,0.022900,0.028300,2.797406,3.422400,0.000000,0.000000,0,14400
